###
# AVA Chat Engine is a chat bot API.
# 
# Copyright (C) 2015-2019  Asurion, LLC
# 
# AVA Chat Engine is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version.
# 
# AVA Chat Engine is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
# 
# You should have received a copy of the GNU General Public License
# along with AVA Chat Engine.  If not, see <https://www.gnu.org/licenses/>.
###
Model_Code,Make,Model,Display Name
mz601,motorola,xoom,Motorola Xoom
xoom 2,motorola,xoom 2,Motorola Xoom 2
xoom 3g,motorola,xoom 3g,Motorola Xoom 3G
xoom 2 me,motorola,xoom ii,Motorola Xoom Ii
SAMSUNG,Samsung,1900,Samsung1900
SAMSUNG,Samsung,210,Samsung 210
SAMSUNG,Samsung,211,Samsung 211
SAMSUNG,Samsung,3550,Samsung 3550
SAMSUNG,Samsung,411,Samsung 411
SAMSUNG,Samsung,6100,Samsung 6100
SAMSUNG,Samsung,850,Samsung 850
SAMSUNG,Samsung,A220,Samsung A220
SAMSUNG,Samsung,A310,Samsung A310
SAMSUNG,Samsung,A530,Samsung A530
SAMSUNG,Samsung,A530S,Samsung A530S
SAMSUNG,Samsung,A570,Samsung A570
SAMSUNG,Samsung,A610,Samsung A610
SAMSUNG,Samsung,A630,Samsung A630
SAMSUNG,Samsung,A645,Samsung A645
SAMSUNG,Samsung,A650,Samsung A650
SAMSUNG,Samsung,A670,Samsung A670
SAMSUNG,Samsung,A690,Samsung A690
SAMSUNG,Samsung,A790,Samsung A790
SAMSUNG,Samsung,A795,Samsung A795
SAMSUNG,Samsung,A850,Samsung A850
SAMSUNG,Samsung,A870,Samsung A870
SAMSUNG,Samsung,A890,Samsung A890
SAMSUNG,Samsung,A930,Samsung A930
SAMSUNG,Samsung,A950,Samsung A950
SAMSUNG,Samsung,A950M,Samsung A950M
SAMSUNG,Samsung,A970,Samsung A970
SAMSUNG,Samsung,A990,Samsung A990
SAMSUNG,Samsung,Alias 2,Samsung Alias 2
SAMSUNG,Samsung,Alias,Samsung Alias
SAMSUNG,Samsung,ATIV Odyssey,Samsung ATIV Odyssey
SAMSUNG,Samsung,ATIV SE,Samsung ATIV SE
SAMSUNG,Samsung,BOOK,Samsung BOOK
SAMSUNG,Samsung,Brightside,Samsung Brightside
SAMSUNG,Samsung,Charge,Samsung Charge
SAMSUNG,Samsung,CONTINUUM,Samsung CONTINUUM
SAMSUNG,Samsung,Convoy 2,Samsung Convoy 2
SAMSUNG,Samsung,Convoy 3,Samsung Convoy 3
SAMSUNG,Samsung,Convoy 4,Samsung Convoy 4
SAMSUNG,Samsung,Convoy,Samsung Convoy
SAMSUNG,Samsung,Core Prime,Samsung Core Prime
SAMSUNG,Samsung,D415,Samsung D415
SAMSUNG,Samsung,Delve,Samsung Delve
SAMSUNG,Samsung,E315,Samsung E315
SAMSUNG,Samsung,Fascinate,Samsung Fascinate
SAMSUNG,Samsung,Flipshot,Samsung Flipshot
SAMSUNG,Samsung,Freeform,Samsung Freeform
SAMSUNG,Samsung,Galaxy J3 V,Samsung Galaxy J3 V
SAMSUNG,Samsung,Galaxy J3 V 2nd Gen,Samsung Galaxy J3 V 2nd Gen
SAMSUNG,Samsung,Galaxy J3 V 3rd Gen,Samsung Galaxy J3 V 3rd Gen
SAMSUNG,Samsung,GALAXY NEXUS,Samsung GALAXY NEXUS
SAMSUNG,Samsung,Galaxy Note 10.1 Tablet,Samsung Galaxy Note 10.1 Tablet
SAMSUNG,Samsung,Galaxy Note 10.1,Samsung Galaxy Note 10.1
SAMSUNG,Samsung,Galaxy Note Pro,Samsung Galaxy Note Pro
SAMSUNG,Samsung,Galaxy S2,Samsung Galaxy S2
SAMSUNG,Samsung,S2,Samsung Galaxy S2
SAMSUNG,Samsung,Galaxy S3 Mini,Samsung Galaxy S3 Mini
SAMSUNG,Samsung,S3 Mini,Samsung Galaxy S3 Mini
SAMSUNG,Samsung,Galaxy S3,Samsung Galaxy S3
SAMSUNG,Samsung,S3,Samsung Galaxy S3
SAMSUNG,Samsung,Galaxy S4 Mini,Samsung Galaxy S4 Mini
SAMSUNG,Samsung,S4 Mini,Samsung Galaxy S4 Mini
SAMSUNG,Samsung,Galaxy S4,Samsung Galaxy S4
SAMSUNG,Samsung,S4,Samsung Galaxy S4
SAMSUNG,Samsung,Galaxy S5,Samsung Galaxy S5
SAMSUNG,Samsung,S5,Samsung Galaxy S5
SAMSUNG,Samsung,Galaxy S6 Edge Plus,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,S6 Edge Plus,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,Galaxy S6 Edge +,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,Galaxy S6 Edge+,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,S6 Edge +,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,S6 Edge+,Samsung Galaxy S6 Edge+
SAMSUNG,Samsung,Galaxy S6 Edge,Samsung Galaxy S6 Edge
SAMSUNG,Samsung,S6 Edge,Samsung Galaxy S6 Edge
SAMSUNG,Samsung,Galaxy S6 Active,Samsung Galaxy S6 Active
SAMSUNG,Samsung,S6 Active,Samsung Galaxy S6 Active
SAMSUNG,Samsung,Galaxy S6,Samsung Galaxy S6
SAMSUNG,Samsung,S6,Samsung Galaxy S6
SAMSUNG,Samsung,Galaxy S7 edge,Samsung Galaxy S7 edge
SAMSUNG,Samsung,S7 edge,Samsung Galaxy S7 edge
SAMSUNG,Samsung,Galaxy S7,Samsung Galaxy S7
SAMSUNG,Samsung,S7,Samsung Galaxy S7
SAMSUNG,Samsung,Galaxy S8 Plus,Samsung Galaxy S8+
SAMSUNG,Samsung,S8 Plus,Samsung Galaxy S8+
SAMSUNG,Samsung,Galaxy S8+,Samsung Galaxy S8+
SAMSUNG,Samsung,Galaxy S8 +,Samsung Galaxy S8+
SAMSUNG,Samsung,S8 +,Samsung Galaxy S8+
SAMSUNG,Samsung,Galaxy S8,Samsung Galaxy S8
SAMSUNG,Samsung,S8,Samsung Galaxy S8
SAMSUNG,Samsung,Galaxy S9 Plus,Samsung Galaxy S9+
SAMSUNG,Samsung,S9 Plus,Samsung Galaxy S9+
SAMSUNG,Samsung,Galaxy S9+,Samsung Galaxy S9+
SAMSUNG,Samsung,Galaxy S9 +,Samsung Galaxy S9+
SAMSUNG,Samsung,S9 +,Samsung Galaxy S9+
SAMSUNG,Samsung,Galaxy S9,Samsung Galaxy S9
SAMSUNG,Samsung,S9,Samsung Galaxy S9
SAMSUNG,Samsung,Galaxy S10,Samsung Galaxy S10
SAMSUNG,Samsung,S10,Samsung Galaxy S10
SAMSUNG,Samsung,Galaxy S10e,Samsung Galaxy S10e
SAMSUNG,Samsung,S10e,Samsung Galaxy S10e
SAMSUNG,Samsung,S10 5G,Samsung Galaxy S10 5G
SAMSUNG,Samsung,Galaxy S10 5G,Samsung Galaxy S10 5G
SAMSUNG,Samsung,Galaxy S10 Plus,Samsung Galaxy S10+
SAMSUNG,Samsung,S10 Plus,Samsung Galaxy S10+
SAMSUNG,Samsung,Galaxy S10+,Samsung Galaxy S10+
SAMSUNG,Samsung,Galaxy S10 +,Samsung Galaxy S10+
SAMSUNG,Samsung,S10 +,Samsung Galaxy S10+
SAMSUNG,Samsung,Galaxy A50,Samsung Galaxy A50
SAMSUNG,Samsung,Galaxy Stellar,Samsung Galaxy Stellar
SAMSUNG,Samsung,Galaxy Stratosphere II,Samsung Galaxy Stratosphere II
SAMSUNG,Samsung,Galaxy Tab 2,Samsung Galaxy Tab 2
SAMSUNG,Samsung,Galaxy Tab 4 8.0,Samsung Galaxy Tab 4 8.0
SAMSUNG,Samsung,GALAXY TAB 4G LTE,Samsung GALAXY TAB 4G LTE
SAMSUNG,Samsung,Galaxy Tab 7.7,Samsung Galaxy Tab 7.7
SAMSUNG,Samsung,Galaxy Tab E,Samsung Galaxy Tab E
SAMSUNG,Samsung,Galaxy Tab E 8.0,Samsung Galaxy Tab E 8.0
SAMSUNG,Samsung,Galaxy Tab S (10.1),Samsung Galaxy Tab S (10.1)
SAMSUNG,Samsung,Galaxy Tab S2,Samsung Galaxy Tab S2
SAMSUNG,Samsung,Galaxy Tab,Samsung Galaxy Tab
SAMSUNG,Samsung,Galaxy View,Samsung Galaxy View
SAMSUNG,Samsung,GALAXYB2B,Samsung GALAXYB2B
SAMSUNG,Samsung,Gear S Watch,Samsung Gear S Watch
SAMSUNG,Samsung,Gear S2 ,Samsung Gear S2 
SAMSUNG,Samsung,GEARS2C,Samsung GEARS2C
SAMSUNG,Samsung,GEARS3C,Samsung GEARS3C
SAMSUNG,Samsung,GEARS3F,Samsung GEARS3F
SAMSUNG,Samsung,Gem,Samsung Gem
SAMSUNG,Samsung,Gleam,Samsung Gleam
SAMSUNG,Samsung,Glint,Samsung Glint
SAMSUNG,Samsung,Glyde,Samsung Glyde
SAMSUNG,Samsung,GTABS2V2,Samsung GTABS2V2
SAMSUNG,Samsung,Gusto 2,Samsung Gusto 2
SAMSUNG,Samsung,Gusto 3,Samsung Gusto 3
SAMSUNG,Samsung,Gusto,Samsung Gusto
SAMSUNG,Samsung,GXYNEX16,Samsung GXYNEX16
SAMSUNG,Samsung,GXYTABE32,Samsung GXYTABE32
SAMSUNG,Samsung,GXYTB210,Samsung GXYTB210
SAMSUNG,Samsung,Haven,Samsung Haven
SAMSUNG,Samsung,Hue 2,Samsung Hue 2
SAMSUNG,Samsung,Hue,Samsung Hue
SAMSUNG,Samsung,I300,Samsung I300
SAMSUNG,Samsung,I600,Samsung I600
SAMSUNG,Samsung,I700,Samsung I700
SAMSUNG,Samsung,I700,Samsung I700
SAMSUNG,Samsung,I730,Samsung I730
SAMSUNG,Samsung,I760,Samsung I760
SAMSUNG,Samsung,I830,Samsung I830
SAMSUNG,Samsung,Illusion,Samsung Illusion
SAMSUNG,Samsung,Intensity 2,Samsung Intensity 2
SAMSUNG,Samsung,Intensity 3,Samsung Intensity 3
SAMSUNG,Samsung,Intensity,Samsung Intensity
SAMSUNG,Samsung,J3ECLIPSE,Samsung J3ECLIPSE
SAMSUNG,Samsung,J7VPANDA,Samsung J7VPANDA
SAMSUNG,Samsung,Juke,Samsung Juke
SAMSUNG,Samsung,Knack,Samsung Knack
SAMSUNG,Samsung,Messager Touch,Samsung Messager Touch
SAMSUNG,Samsung,Muse,Samsung Muse
SAMSUNG,Samsung,MyShot,Samsung MyShot
SAMSUNG,Samsung,N150,Samsung N150
SAMSUNG,Samsung,N150NB,Samsung N150NB
SAMSUNG,Samsung,N300,Samsung N300
SAMSUNG,Samsung,N330,Samsung N330
SAMSUNG,Samsung,Nimbus,Samsung Nimbus
SAMSUNG,Samsung,Note 2,Samsung Note 2
SAMSUNG,Samsung,Note 3,Samsung Note 3
SAMSUNG,Samsung,Note 4,Samsung Note 4
SAMSUNG,Samsung,Note 5,Samsung Note 5
SAMSUNG,Samsung,Note 8,Samsung Note 8
SAMSUNG,Samsung,NOTE7,Samsung NOTE7
SAMSUNG,Samsung,OMNIA,Samsung OMNIA
SAMSUNG,Samsung,OMNIA2,Samsung OMNIA2
SAMSUNG,Samsung,PRESTO,Samsung PRESTO
SAMSUNG,Samsung,R200,Samsung R200
SAMSUNG,Samsung,R580,Samsung R580
SAMSUNG,Samsung,REALITY,Samsung REALITY
SAMSUNG,Samsung,Saga,Samsung Saga
SAMSUNG,Samsung,Stratosphere,Samsung Stratosphere
SAMSUNG,Samsung,Sway,Samsung Sway
SAMSUNG,Samsung,T300,Samsung T300
SAMSUNG,Samsung,TABS3,Samsung TABS3
SAMSUNG,Samsung,Trance,Samsung Trance
SAMSUNG,Samsung,U340,Samsung U340
SAMSUNG,Samsung,U410,Samsung U410
SAMSUNG,Samsung,U430,Samsung U430
SAMSUNG,Samsung,U520,Samsung U520
SAMSUNG,Samsung,U540,Samsung U540
SAMSUNG,Samsung,U550,Samsung U550
SAMSUNG,Samsung,U620,Samsung U620
SAMSUNG,Samsung,U810,Samsung U810
SAMSUNG,Samsung,U960,Samsung U960
SAMSUNG,Samsung,X105,Samsung X105
SAMSUNG,Samsung,X495,Samsung X495
SAMSUNG,Samsung,ZEAL,Samsung ZEAL
sgh-i927,samsung,captivate glide,Samsung Captivate Glide
gt-s5830,samsung,galaxy ace,Samsung Galaxy Ace
gt-i8160,samsung,galaxy ace 2,Samsung Galaxy Ace 2
gt-s7275r,samsung,galaxy ace 3,Samsung Galaxy Ace 3
sm-s765c,samsung,galaxy ace style,Samsung Galaxy Ace Style
samsung-sm-g850a,samsung,galaxy alpha,Samsung Galaxy Alpha
sm-g386t,samsung,galaxy avant,Samsung Galaxy Avant
sch-s738c,samsung,galaxy centura,Samsung Galaxy Centura
gt-i8260,samsung,galaxy core,Samsung Galaxy Core
sch-r740c,samsung,galaxy discover,Samsung Galaxy Discover
sgh-t599,samsung,galaxy exhibit,Samsung Galaxy Exhibit
samsung-sgh-i577,samsung,galaxy exhilarate,Samsung Galaxy Exhilarate
gt-i8730,samsung,galaxy express,Samsung Galaxy Express
gt-s6810b,samsung,galaxy fame,Samsung Galaxy Fame
gt-i9082,samsung,galaxy grand,Samsung Galaxy Grand
sm-g7102,samsung,galaxy grand 2,Samsung Galaxy Grand 2
sc-02f,samsung,galaxy j,Samsung Galaxy J
sgh-t399,samsung,galaxy light,Samsung Galaxy Light
gt-i9152,samsung,galaxy mega,Samsung Galaxy Mega
galaxy nexus,samsung,galaxy nexus,Samsung Galaxy Nexus
gt-i9220,samsung,galaxy note,Samsung Galaxy Note
gt-n8000,samsung,galaxy note 10.1,Samsung Galaxy Note 10.1
gt-n8010,samsung,galaxy note 10.2,Samsung Galaxy Note 10.2
gt-n8013,samsung,galaxy note 10.3,Samsung Galaxy Note 10.3
gt-n8020,samsung,galaxy note 10.4,Samsung Galaxy Note 10.4
gt-n7100,samsung,galaxy note 2,Samsung Galaxy Note 2
samsung-sm-n900a,samsung,galaxy note 3,Samsung Galaxy Note 3
unknown84.1,samsung,note 3,Samsung Galaxy Note 3
samsung-sm-n910a,samsung,galaxy note 4,Samsung Galaxy Note 4
unknown85.1,samsung,note 4,Samsung Galaxy Note 4
samsung-sm-n920,samsung,galaxy note 5,Samsung Galaxy Note 5
unknown85.3,samsung,note 5,Samsung Galaxy Note 5
unknown85.5,samsung,note 6,Samsung Galaxy Note 6
unknown85.4,samsung,galaxy note 6,Samsung Galaxy Note 6
unknown463,samsung,galaxy note 7,Samsung Galaxy Note 7
unknown85.5,samsung,note 7,Samsung Galaxy Note 6
unknown85.6,samsung,note 8,Samsung Galaxy Note 8
gt-n5100,samsung,galaxy note 8,Samsung Galaxy Note 8
SAMSUNGNOTE9,samsung,galaxy note 9,Samsung Galaxy Note 9
sm-n915t,samsung,galaxy note edge,Samsung Galaxy Note Edge
gt-n7105,samsung,galaxy note ii,Samsung Galaxy Note Ii
sm-p900,samsung,galaxy note pro,Samsung Galaxy Note Pro
gt-n5110,samsung,galaxy note viii,Samsung Galaxy Note Viii
yp-gp1,samsung,galaxy player 5,Samsung Galaxy Player 5
gt-s5312b,samsung,galaxy pocket neo,Samsung Galaxy Pocket Neo
gt-s5301l,samsung,galaxy pocket plus,Samsung Galaxy Pocket Plus
sph-m840,samsung,galaxy prevail,Samsung Galaxy Prevail
sph-m950,samsung,galaxy reverb,Samsung Galaxy Reverb
sgh-i547c,samsung,galaxy rugby,Samsung Galaxy Rugby
sph-m830,samsung,galaxy rush,Samsung Galaxy Rush
gt-i9070,samsung,galaxy s advance,Samsung Galaxy S Advance
sgh-t769,samsung,galaxy s blaze,Samsung Galaxy S Blaze
samsung-sgh-i547,samsung,galaxy s iv active,Samsung Galaxy S Iv Active
gt-i9001,samsung,galaxy s plus,Samsung Galaxy S Plus
sgh-t699,samsung,galaxy s relay,Samsung Galaxy S Relay
samsung-sm-g900a,samsung,galaxy s v,Samsung Galaxy S V
samsung-sgh-i727,samsung,galaxy s2 skyrocket,Samsung Galaxy S2 Skyrocket
sc-03e,samsung,galaxy s3 alpha,Samsung Galaxy S3 Alpha
samsung-sm-g730a,samsung,galaxy s3 mini,Samsung Galaxy S3 Mini
gt-i8190,samsung,galaxy s3 siii mini,Samsung Galaxy S3 Siii Mini
gt-i9295,samsung,galaxy s4 active,Samsung Galaxy S4 Active
sm-c101,samsung,galaxy s4 zoom,Samsung Galaxy S4 Zoom
samsung-sm-g870a,samsung,galaxy s5 active,Samsung Galaxy S5 Active
gt-s7562,samsung,galaxy sdous,Samsung Galaxy Sdous
gt-i9100g,samsung,galaxy sii,Samsung Galaxy Sii
gt-i9300t,samsung,galaxy siii,Samsung Galaxy Siii
gt-i9505,samsung,galaxy siv,Samsung Galaxy Siv
gt-s5280,samsung,galaxy star,Samsung Galaxy Star
sch-i415,samsung,galaxy stratosphere,Samsung Galaxy Stratosphere
gt-p7500,samsung,galaxy tab 10.1,Samsung Galaxy Tab 10.1
gt-p3100,samsung,galaxy tab 2,Samsung Galaxy Tab 2
gt-p5100,samsung,galaxy tab 2 10.1,Samsung Galaxy Tab 2 10.1
gt-p5110,samsung,galaxy tab 2 10.2,Samsung Galaxy Tab 2 10.2
gt-p5113,samsung,galaxy tab 2 10.3,Samsung Galaxy Tab 2 10.3
samsung-sm-t217a,samsung,galaxy tab 3,Samsung Galaxy Tab 3
gt-p5210,samsung,galaxy tab 3 10.1,Samsung Galaxy Tab 3 10.1
gt-p6200,samsung,galaxy tab 7,Samsung Galaxy Tab 7
sc-01e,samsung,galaxy tab 7.7,Samsung Galaxy Tab 7.7
gt-p6210,samsung,galaxy tab 8,Samsung Galaxy Tab 8
gt-p7310,samsung,galaxy tab 8.10,Samsung Galaxy Tab 8.10
gt-p7300,samsung,galaxy tab 8.9,Samsung Galaxy Tab 8.9
gt-p3110,samsung,galaxy tab ii,Samsung Galaxy Tab Ii
sm-t320,samsung,galaxy tab pro,Samsung Galaxy Tab Pro
gt-s7560,samsung,galaxy trend,Samsung Galaxy Trend
sph-l300,samsung,galaxy victory,Samsung Galaxy Victory
gt-i8150,samsung,galaxy w,Samsung Galaxy W
gt-s7710,samsung,galaxy xcover 2,Samsung Galaxy Xcover 2
gt-s6310n,samsung,galaxy young,Samsung Galaxy Young
gt-s6313t,samsung,galaxy young dous tv,Samsung Galaxy Young Dous Tv
nexus 10,samsung,nexus 10,Samsung Nexus 10
nexus s,samsung,nexus s,Samsung Nexus S
nexus s 4g,samsung,nexus s 4g,Samsung Nexus S 4G
walkman,sony,walkman,Sony Corporation Walkman
so-03d,sony ericsson,xperia acro hd,Sony Ericsson Xperia Acro Hd
lt18i,sony ericsson,xperia arc s,Sony Ericsson Xperia Arc S
lt28i ,sony ericsson,xperia ion,Sony Ericsson Xperia Ion
lt28h,sony ericsson,xperia ion hspa,Sony Ericsson Xperia Ion Hspa
mk16a,sony ericsson,xperia pro,Sony Ericsson Xperia Pro
lt26i,sony ericsson,xperia s,Sony Ericsson Xperia S
sony tablet s,sony,tablet s,Sony Tablet S
c1904,sony,xperia,Sony Xperia
so-04e,sony,xperia a,Sony Xperia A
so-01e,sony,xperia ax,Sony Xperia Ax
c2305,sony,xperia c,Sony Xperia C
xperia e dual,sony,xperia e dual,Sony Xperia E Dual
d2004,sony,xperia e1,Sony Xperia E1
,sony,xperia go,Sony Xperia Go
so-04d,sony,xperia gx,Sony Xperia Gx
st26a,sony,xperia j,Sony Xperia J
c2104,sony,xperia l,Sony Xperia L
d2306,sony,xperia m2,Sony Xperia M2
st23i,sony,xperia miro,Sony Xperia Miro
lt22i,sony,xperia p,Sony Xperia P
xperia sola,sony,xperia sola,Sony Xperia Sola
mt27i,sony,xperia solo,Sony Xperia Solo
c5303,sony,xperia sp,Sony Xperia Sp
lt30a,sony,xperia t,Sony Xperia T
d5316n,sony,xperia t2,Sony Xperia T2
d5106,sony,xperia t3,Sony Xperia T3
sgp311,sony,xperia tablet z,Sony Xperia Tablet Z
st21i,sony,xperia tipo,Sony Xperia Tipo
st21i2,sony,xperia tipo dual,Sony Xperia Tipo Dual
st25i,sony,xperia u,Sony Xperia U
sol22,sony,xperia ul,Sony Xperia Ul
lt25i,sony,xperia v,Sony Xperia V
c6603,sony,xperia z,Sony Xperia Z
c6833,sony,xperia z ultra,Sony Xperia Z Ultra
c6902,sony,xperia z1,Sony Xperia Z1
d6503,sony,xperia z2,Sony Xperia Z2
sgp511,sony,xperia z2 tablet,Sony Xperia Z2 Tablet
d5803,sony,xperia z3,Sony Xperia Z3
c6506,sony,xperia zl,Sony Xperia Zl
c5502,sony,xperia zr,Sony Xperia Zr
pixel,Google,Pixel,Google Pixel
pixelXL,Google,Pixel XL,Google Pixel XL
pixel2,Google,Pixel 2,Google Pixel 2
pixel2XL,Google,Pixel 2 XL,Google Pixel 2 XL
pixel3,Google,Pixel 3,Google Pixel 3
pixel3XL,Google,Pixel 3 XL,Google Pixel 3 XL
pixel3a,Google,Pixel 3a,Google Pixel 3a
pixel3aXL,Google,Pixel 3a XL,Google Pixel 3a XL
kyoceracadence,Kyocera,Cadence,Kyocera Cadence LTE
kyoceraduraforce,Kyocera,Duraforce,Kyocera Duraforce
kyoceraduraxv,Kyocera,DuraXV,Kyocera DuraXV LTE
verizonellipsis8,Verizon,Ellipsis 8,Verizon Ellipsis 8
asuszenfonezoom,Asus,ZenFone Zoom,Asus ZenFone Zoom
asuszenfonemax,Asus,ZenFone Max,Asus ZenFone Max
asuszenfonear,Asus,ZenFone AR,Asus ZenFone AR
asuszenfonelive,Asus,ZenFone Live,Asus ZenFone Live
asuszenfonev,Asus,ZenFone V,Asus ZenFone V Live
asuszenpadz8s,Asus,ZenPad Z8s,Asus ZenPad Z8s
asuszenpadz10,Asus,ZenPad Z10,Asus ZenPad Z10
redhydrogenOne,RED,Hydrogen One,RED HYDROGEN ONE
alcatelAvalonV,Alcatel,AVALON V,Alcatel AVALON V
palmphone,Palm,Phone,Palm Phone
sonimxp8,Sonim,XP8,Sonim XP8
