###
# AVA Chat Engine is a chat bot API.
# 
# Copyright (C) 2015-2019  Asurion, LLC
# 
# AVA Chat Engine is free software: you can redistribute it and/or modify
# it under the terms of the GNU General Public License as published by
# the Free Software Foundation, either version 3 of the License, or
# (at your option) any later version.
# 
# AVA Chat Engine is distributed in the hope that it will be useful,
# but WITHOUT ANY WARRANTY; without even the implied warranty of
# MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
# GNU General Public License for more details.
# 
# You should have received a copy of the GNU General Public License
# along with AVA Chat Engine.  If not, see <https://www.gnu.org/licenses/>.
###
Model_Code,Make,Model,Display Name
htc one x+,htc,one x+,Htc One X+
htconevzw,htc,one1 one 1,Htc One1 One 1
htc vle_u,htc,ones one s,Htc Ones One S
one x,htc,onex one x,Htc Onex One X
unknown414,htc,htc one remix,Htc One Remix
adr6425lvw,htc,rezound,Htc Rezound
htc sensation 4g,htc,sensation 4g,Htc Sensation 4G
htc sensation xe with beats audio z715e,htc,sensation xe,Htc Sensation Xe
htc sensation xe with beats audio,htc,sensation xe with beats audio,Htc Sensation Xe With Beats Audio
htc sensation xi with beats audio x315e,htc,sensation xl,Htc Sensation Xl
htc sensation z710e,htc,sensation z 710 e,Htc Sensation Z 710 E
thunderbolt,htc,thunderbolt,Htc Thunderbolt
unknown,htc,unknown,Htc Unknown
htc ph39100,htc,vivid,Htc Vivid
wildfire,htc,wildfire,Htc Wildfire
unknown459,htc,windows phone 8x,Htc Windows Phone 8X
unknown460,htc,windows phone 8s,Htc Windows Phone 8S
LG,LG,1010,LG 1010
LG,LG,330W,LG 330W
LG,LG,4400B,LG 4400B
LG,LG,510,LG 510
LG,LG,Accolade,LG Accolade
LG,LG,Ally,LG Ally
LG,LG,AX145,LG AX145
LG,LG,AX155,LG AX155
LG,LG,AX245,LG AX245
LG,LG,AX275,LG AX275
LG,LG,AX300,LG AX300
LG,LG,AX355,LG AX355
LG,LG,AX390,LG AX390
LG,LG,AX4270,LG AX4270
LG,LG,AX4750,LG AX4750
LG,LG,AX490,LG AX490
LG,LG,ax5000,LG ax5000
LG,LG,AX565,LG AX565
LG,LG,AX8600,LG AX8600
LG,LG,Banter,LG Banter
LG,LG,C1300,LG C1300
LG,LG,Chocolate 3,LG Chocolate 3
LG,LG,Chocolate,LG Chocolate
LG,LG,Clout,LG Clout
LG,LG,Cosmos 2,LG Cosmos 2
LG,LG,Cosmos 3,LG Cosmos 3
LG,LG,Cosmos,LG Cosmos
LG,LG,COSMOS Touch,LG COSMOS Touch
LG,LG,Dare,LG Dare
LG,LG,Decoy,LG Decoy
LG,LG,Enact,LG Enact
LG,LG,Enlighten,LG Enlighten
LG,LG,Env Touch (VX11000),LG Env Touch (VX11000)
LG,LG,enV,LG enV
LG,LG,Envy 2,LG Envy 2
LG,LG,Envy 3,LG Envy 3
LG,LG,Exalt 2,LG Exalt 2
LG,LG,Exalt,LG Exalt
LG,LG,EXALTLTE,LG EXALTLTE
LG,LG,Extravert 2,LG Extravert 2
LG,LG,Extravert,LG Extravert
LG,LG,FATHOM,LG FATHOM
LG,LG,G Pad 10,LG G Pad 10
LG,LG,G Pad 7.0,LG G Pad 7.0
LG,LG,G Pad 8.3,LG G Pad 8.3
LG,LG,G Pad X8.3,LG G Pad X8.3
LG,LG,G2,LG G2
LG,LG,G2,LG G2
LG,LG,G3 (VS985),LG G3 (VS985)
LG,LG,G3 Vista (VS880),LG G3 Vista (VS880)
LG,LG,G3,LG G3
LG,LG,G4,LG G4
LG,LG,G5,LG G5
LG,LG,G6,LG G6
LG,LG,GizmoGadget,LG GizmoGadget
LG,LG,GizmoPal,LG GizmoPal
LG,LG,Glance,LG Glance
LG,LG,Glimmer,LG Glimmer
LG,LG,Helix,LG Helix
LG,LG,Intuition,LG Intuition
LG,LG,K20V,LG K20V
LG,LG,K2B,LG K2B
LG,LG,K2BLGT,LG K2BLGT
LG,LG,K4,LG K4
LG,LG,K8 V,LG K8 V
LG,LG,Lancet,LG Lancet
LG,LG,Lucid 2,LG Lucid 2
LG,LG,Lucid 3,LG Lucid 3
LG,LG,Lucid,LG Lucid
LG,LG,LX5450,LG LX5450
LG,LG,NEX5X16,LG NEX5X16
LG,LG,NEX5X32,LG NEX5X32
LG,LG,Octane,LG Octane
LG,LG,Revere 2,LG Revere 2
LG,LG,Revere 3,LG Revere 3
LG,LG,Revere,LG Revere
LG,LG,Revolution,LG Revolution
LG,LG,Rhythm,LG Rhythm
LG,LG,Scoop,LG Scoop
LG,LG,Spectrum 2,LG Spectrum 2
LG,LG,Spectrum,LG Spectrum
LG,LG,Swift,LG Swift
LG,LG,Terra,LG Terra
LG,LG,TM510,LG TM510
LG,LG,URBANE2,LG URBANE2
LG,LG,USB4GVL600,LG USB4GVL600
LGV10,LG,V10,LG V10
LGV111,LG,V111,LG V111
LGV20,LG,V20,LG V20
LGV30,LG,V30,LG V30
LGV40,LG,V40,LG V40
LGV40ThinQ,LG,V40 ThinQ,LG V40 ThinQ
LG7ThinQ,LG,G7 ThinQ,LG G7 ThinQ
LG8ThinQ,LG,G8 ThinQ,LG G8 ThinQ
LG,LG,Venus,LG Venus
LG,LG,Versa,LG Versa
LG,LG,VORTEX,LG VORTEX
LG,LG,Voyager,LG Voyager
LG,LG,VS835,LG VS835
LG,LG,VX 3100,LG VX 3100
LG,LG,VX-5500,LG VX-5500
LG,LG,VX1,LG VX1
LG,LG,VX10,LG VX10
LG,LG,VX1000,LG VX1000
LG,LG,VX10000S,LG VX10000S
LG,LG,VX1000L,LG VX1000L
LG,LG,VX2000,LG VX2000
LG,LG,VX3100,LG VX3100
LG,LG,VX3200,LG VX3200
LG,LG,VX3300,LG VX3300
LG,LG,VX3400,LG VX3400
LG,LG,VX3450,LG VX3450
LG,LG,VX3450L,LG VX3450L
LG,LG,VX4400,LG VX4400
LG,LG,VX4500,LG VX4500
LG,LG,VX4600,LG VX4600
LG,LG,VX4650,LG VX4650
LG,LG,VX4700,LG VX4700
LG,LG,VX5100,LG VX5100
LG,LG,VX5200,LG VX5200
LG,LG,VX5300,LG VX5300
LG,LG,VX5400,LG VX5400
LG,LG,VX6000,LG VX6000
LG,LG,VX6100,LG VX6100
LG,LG,VX7000,LG VX7000
LG,LG,VX8000,LG VX8000
LG,LG,VX8100,LG VX8100
LG,LG,VX8300,LG VX8300
LG,LG,VX8350,LG VX8350
LG,LG,VX8360,LG VX8360
LG,LG,VX8600,LG VX8600
LG,LG,VX8610WC,LG VX8610WC
LG,LG,VX8700,LG VX8700
LG,LG,VX9000,LG VX9000
LG,LG,VX9400,LG VX9400
LG,LG,VX9600,LG VX9600
LG,LG,VX9800,LG VX9800
LG,LG,VX9800M,LG VX9800M
LG,LG,Wave,LG Wave
lgl31l,lg,access,Lg Access
lg-p870,lg,escape,Lg Escape
lg-d950,lg,g flex,Lg G Flex
lg-v500,lg,g pad,Lg G Pad
l-01f,lg,g2,Lg G2
lg-d800,lg,g2 d800,Lg G2 D800
lg-d801,lg,g2 d801,Lg G2 D801
lg-d802,lg,g2 d802,Lg G2 D802
lg-d803,lg,g2 d803,Lg G2 D803
lg-d805,lg,g2 d805,Lg G2 D805
lg-d850,lg,g2 d850,Lg G2 D850
lg-d851,lg,g2 d851,Lg G2 D851
lg-d852,lg,g2 d852,Lg G2 D852
